Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,BUZ-SMD_4P-L8.5-W8.5-P8.50-TL,1,Buzzer,C95298
C1,0402,1,1uF,C52923
"C2, C47, C48, C49, C50, C51, C52, C53, C56, C57, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68",0402,20,100nF,C307331
"C24, C27, C28",0805,3,10uF,C15850
"C25, C26",0603,2,10uF,C19702
"C34, C36, C37",0805,3,22uF,C45783
C35,0402,1,100nF,C1525
"C4, C7",0603,2,2.2uF,C23630
"C5, C6",0402,2,33pF,C1562
C58,0402,1,10nF,C15195
C8,0603,1,10uF,C96446
"D1, D4",SMA_L4.3-W2.6-LS5.2-RD,2,SS34,C8678
"D2, D7, D8",0603,3,LED,C2286
D3,0603,1,LED,C2288
D5,D_SOD-123,1,1N4148W,C81598
D6,0603,1,LED,C12624
FLASH1,SW_Push_1P1T_XKB_TS-1187A,1,Flash,C318884
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,C19274016
J11,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,Conn_01x06_MountingPin,
J2,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,Conn_01x02_Pin,C428721
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"J7, J9",Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical,2,Conn_01x02,
L1,IND-SMD_L6.0-W6.0_SWPA6045S,1,6.8qH,C57254
"Q1, Q5",TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW,2,AOD4184A,C99124
Q2,SOT-23,1,MMBT2222A,C8512
"R1, R2",0402,2,4.7K,C25900
"R10, R6, R9",0402,3,1K,C11702
"R11, R25",0402,2,10K,C25804
"R12, R13, R15, R16, R19, R21, R23, R26",0402,8,10K,C25744
"R14, R17",0402,2,5.1K,C25905
"R20, R22, R30",0402,3,22K,C25768
"R24, R4",0402,2,100R,C25076
R3,0402,1,33.2K,C850963
"R5, R7, R8",0402,3,330R,C25104
RESET2,SW_Push_1P1T_XKB_TS-1187A,1,Reset,C318884
U1,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U14,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL-EP,1,TPS54525PWPR,C140350
U2,WIRELM-SMD_E22-900M22S,1,E22-900M22S,C411293
U3,SENSORS-SMD_MS5611-01BA03,1,MS561101BA03-50,
U4,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
U5,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-42688-P,C1850418
U6,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U9,LGA-16_L3.3-W3.0-P0.50-TL,1,ADXL372BCCZ-RL7,C579465
Y2,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
